place_id,name,state,lga,lat,lon,is_hub,place_type,loc_code,area_sqkm,source,source_objectid,official_name_raw,point_method,graph_node,official_centre_lat,official_centre_lon,roadpoint_offset_m
qld_locality_5718,Kobble Creek,QLD,Moreton Bay City,-27.2684202,152.7985112,0,locality_road_representative_point,5718,51.85455,qld_admin_boundaries_locality_boundary,1844,Kobble Creek,road_node_inside_locality,1948343,-27.2671487,152.7969762,233.6
qld_locality_3753,Kogan,QLD,Western Downs Regional,-27.0914629,150.6839544,0,locality_road_representative_point,3753,624.414004,qld_admin_boundaries_locality_boundary,1845,Kogan,road_node_inside_locality,927113,-27.0816174,150.6905281,1432.1
qld_locality_3305,Kokotungo,QLD,Banana Shire,-24.1418548,149.9887433,0,locality_road_representative_point,3305,781.038991,qld_admin_boundaries_locality_boundary,1846,Kokotungo,road_node_inside_locality,1234185,-24.1268333,149.9752544,2369.0
qld_locality_4391,Kolonga,QLD,Bundaberg Regional,-24.7623221,151.7042074,0,locality_road_representative_point,4391,144.902712,qld_admin_boundaries_locality_boundary,1847,Kolonga,road_node_inside_locality,1078483,-24.7760038,151.6826792,2925.2
qld_locality_1471,Koombooloomba,QLD,Tablelands Regional,-17.8255563,145.5635588,0,locality_road_representative_point,1471,757.308812,qld_admin_boundaries_locality_boundary,1848,Koombooloomba,road_node_inside_locality,169927,-17.8266939,145.5390176,2735.2
qld_locality_1472,Koongal,QLD,Rockhampton Regional,-23.3687516,150.5484038,0,locality_road_representative_point,1472,4.442125,qld_admin_boundaries_locality_boundary,1849,Koongal,road_node_inside_locality,1452745,-23.3686141,150.5484301,16.9
qld_locality_1473,Kooralbyn,QLD,Scenic Rim Regional,-28.0733365,152.8253198,0,locality_road_representative_point,1473,87.427327,qld_admin_boundaries_locality_boundary,1955,Kooralbyn,road_node_inside_locality,2479771,-28.0742876,152.8204544,554.8
qld_locality_5494,Kooralgin,QLD,Toowoomba Regional,-26.9183940,151.9373747,0,locality_road_representative_point,5494,60.452202,qld_admin_boundaries_locality_boundary,1956,Kooralgin,road_node_inside_locality,1831252,-26.9299965,151.9337934,1502.5
qld_locality_1475,Kooringal,QLD,Brisbane City,-27.3499383,153.4204651,0,locality_road_representative_point,1475,0.227802,qld_admin_boundaries_locality_boundary,1957,Kooringal,road_node_inside_locality,3530541,-27.3505665,153.4201523,86.1
qld_locality_4866,Kooroomool,QLD,Cassowary Coast Regional,-17.7777974,145.6502986,0,locality_road_representative_point,4866,253.092801,qld_admin_boundaries_locality_boundary,1958,Kooroomool,road_node_inside_locality,121854,-17.9294556,145.7177926,19262.4
qld_locality_1476,Kooroongarra,QLD,Toowoomba Regional,-28.0969623,151.2542590,0,locality_road_representative_point,1476,116.487318,qld_admin_boundaries_locality_boundary,1977,Kooroongarra,road_node_inside_locality,1679237,-28.0926600,151.2700910,1844.1
qld_locality_1480,Koumala,QLD,Mackay Regional,-21.6214476,149.2840327,0,locality_road_representative_point,1480,832.179978,qld_admin_boundaries_locality_boundary,1978,Koumala,road_node_inside_locality,1010522,-21.6225388,149.2814939,311.4
qld_locality_5574,Kowanyama,QLD,Kowanyama Aboriginal Shire,-15.2490222,141.8600204,0,locality_road_representative_point,5574,2524.886283,qld_admin_boundaries_locality_boundary,1979,Kowanyama,road_node_inside_locality,145814,-15.2772168,141.8172770,5764.1
qld_locality_4943,Kowguran,QLD,Western Downs Regional,-26.5004793,150.1036205,0,locality_road_representative_point,4943,172.514157,qld_admin_boundaries_locality_boundary,1980,Kowguran,road_node_inside_locality,1184699,-26.5071382,150.1175997,1762.9
qld_locality_5216,Kragra,QLD,Western Downs Regional,-26.1250747,150.7943594,0,locality_road_representative_point,5216,602.523137,qld_admin_boundaries_locality_boundary,2191,Kragra,road_node_inside_locality,1114572,-26.1175980,150.7985916,1039.8
qld_locality_1487,Kulangoor,QLD,Sunshine Coast Regional,-26.5886535,152.9512658,0,locality_road_representative_point,1487,6.355567,qld_admin_boundaries_locality_boundary,2192,Kulangoor,road_node_inside_locality,2129636,-26.5887041,152.9536982,270.8
qld_locality_4079,Kulgun,QLD,Scenic Rim Regional,-27.9320565,152.6832298,0,locality_road_representative_point,4079,4.627072,qld_admin_boundaries_locality_boundary,2193,Kulgun,road_node_inside_locality,2569422,-27.9311284,152.6829646,120.6
qld_locality_4375,Kullogum,QLD,Bundaberg Regional,-25.3310871,152.2523070,0,locality_road_representative_point,4375,224.23907400000002,qld_admin_boundaries_locality_boundary,2194,Kullogum,road_node_inside_locality,2186333,-25.3413440,152.2562398,1337.0
qld_locality_1490,Kulpi,QLD,Toowoomba Regional,-27.1870398,151.6994330,0,locality_road_representative_point,1490,23.531332000000003,qld_admin_boundaries_locality_boundary,2210,Kulpi,road_node_inside_locality,1719144,-27.1809207,151.6961468,848.7
qld_locality_3791,Kuluin,QLD,Sunshine Coast Regional,-26.6575562,153.0559573,0,locality_road_representative_point,3791,1.8683610000000002,qld_admin_boundaries_locality_boundary,2104,Kuluin,road_node_inside_locality,3411502,-26.6578145,153.0559725,32.2
qld_locality_1491,Kumbarilla,QLD,Western Downs Regional,-27.2623811,150.8924814,0,locality_road_representative_point,1491,249.56001,qld_admin_boundaries_locality_boundary,2105,Kumbarilla,road_node_inside_locality,920605,-27.2660591,150.8910591,487.1
qld_locality_1492,Kumbia,QLD,South Burnett Regional,-26.6895389,151.6589082,0,locality_road_representative_point,1492,69.577166,qld_admin_boundaries_locality_boundary,2106,Kumbia,road_node_inside_locality,1807024,-26.6907210,151.6608397,260.6
qld_locality_1493,Kunda Park,QLD,Sunshine Coast Regional,-26.6614688,153.0394197,0,locality_road_representative_point,1493,2.9496460000000004,qld_admin_boundaries_locality_boundary,2127,Kunda Park,road_node_inside_locality,3366258,-26.6612748,153.0401076,80.3
qld_locality_4324,Kunioon,QLD,South Burnett Regional,-26.6823031,151.9045526,0,locality_road_representative_point,4324,29.232378999999998,qld_admin_boundaries_locality_boundary,2224,Kunioon,road_node_inside_locality,1840652,-26.6681485,151.9000559,1833.0
qld_locality_5003,Kunwarara,QLD,Livingstone Shire,-22.8719431,150.0958888,0,locality_road_representative_point,5003,673.691401,qld_admin_boundaries_locality_boundary,2225,Kunwarara,road_node_inside_locality,1515687,-22.8552713,150.0920708,2058.5
